범죄대분류,범죄중분류,계,남자(소계),남자(20세이하),남자(21-30세),남자(31-40세),남자(41-50세),남자(51-60세),남자(61-70세),남자(71세이상),여자(소계),여자(20세이하),여자(21-30세),여자(31-40세),여자(41-50세),여자(51-60세),여자(61-70세),여자(71세이상)
강력범죄,살인기수,379,297,7,32,59,87,75,20,17,82,4,17,16,21,14,7,3
강력범죄,살인미수등,616,555,20,56,102,167,137,58,15,61,3,14,14,10,12,4,4
강력범죄,강도,"1,716","1,549",391,340,359,251,152,40,9,167,62,20,21,28,18,6,3
강력범죄,강간,"5,829","5,762","1,039","1,665","1,218",927,620,197,91,67,24,14,10,9,5,4,1
강력범죄,유사강간,598,591,119,158,87,107,81,30,8,7,0,2,1,1,2,1,0
강력범죄,강제추행,"16,016","15,657","1,411","2,955","3,036","3,475","2,989","1,194",589,359,63,75,63,93,44,15,5
강력범죄,기타 강간,521,514,135,113,77,80,71,24,12,7,5,0,2,0,0,0,0
강력범죄,방화,"1,396","1,171",167,75,156,306,330,100,37,225,11,30,40,68,60,10,6
절도범죄,절도범죄,"106,415","81,936","23,900","14,561","11,278","11,326","11,653","5,846","3,335","24,479","3,379","3,473","3,374","4,228","5,212","2,934","1,841"
폭력범죄,상해,"65,695","55,556","4,349","8,598","10,624","13,868","12,595","4,092","1,423","10,139",759,"1,356","1,726","2,404","2,507",931,451
폭력범죄,폭행,"216,857","180,760","11,970","28,301","36,337","46,310","40,676","13,194","3,830","36,097","3,180","6,945","7,230","8,287","7,195","2,332",884
폭력범죄,체포 감금,"1,687","1,404",132,292,331,316,224,86,19,283,43,28,39,67,69,20,9
폭력범죄,협박,"16,825","15,118",557,"1,785","2,942","4,482","3,845","1,169",319,"1,707",96,192,379,500,378,112,31
폭력범죄,약취 유인,305,212,20,56,42,45,32,13,4,93,10,19,28,16,8,11,1
폭력범죄,폭력행위등,"40,963","32,948","8,241","8,426","6,115","5,128","3,683","1,071",255,"8,015","2,289","1,894","1,045","1,081","1,122",414,138
폭력범죄,공갈,"3,638","3,175",898,407,524,610,551,138,41,463,84,63,68,100,87,38,14
폭력범죄,손괴,"34,995","30,124","1,643","4,274","6,054","8,185","6,802","2,288",870,"4,871",189,568,817,"1,289","1,263",438,289
지능범죄,직무유기,642,524,3,15,115,160,197,16,6,118,2,3,38,40,15,0,2
지능범죄,직권남용,577,512,0,44,129,172,135,15,0,65,0,6,16,14,12,5,1
지능범죄,증수뢰,788,730,0,9,61,266,310,76,7,58,0,0,8,23,19,7,1
지능범죄,통화,220,207,38,29,7,43,86,3,1,13,4,7,0,0,1,1,0
지능범죄,문서 인장,"18,024","13,163","1,521","1,307","2,222","3,066","3,230","1,249",550,"4,861",814,480,750,"1,146","1,058",391,131
지능범죄,유가증권인지,373,318,3,5,27,89,128,52,14,55,0,4,2,20,21,7,1
지능범죄,사기,"223,210","173,825","11,601","25,619","32,974","47,315","41,652","12,078","2,418","49,385","2,546","6,733","9,301","12,394","13,063","4,078",840
지능범죄,횡령,"35,583","27,993","1,603","2,845","4,944","7,397","7,129","2,876","1,178","7,590",506,777,"1,314","1,877","1,879",827,362
지능범죄,배임,"7,608","6,138",19,147,762,"1,774","2,071",984,375,"1,470",6,64,211,368,477,235,59
풍속범죄,성풍속범죄,"11,207","10,708","1,714","3,287","2,693","1,629","1,010",284,88,499,104,144,87,76,63,17,3
풍속범죄,도박범죄,"33,942","29,165",523,"5,529","7,232","6,437","7,033","2,062",343,"4,777",13,243,377,905,"2,130",931,167
특별경제범죄,특별경제범죄,"77,669","59,877","1,913","7,980","12,467","16,795","14,961","4,510","1,174","17,792",579,"2,550","3,435","4,689","4,424","1,530",383
마약범죄,마약범죄,"8,443","6,460",64,814,"1,714","2,198","1,167",296,206,"1,983",60,420,403,322,203,232,343
보건범죄,보건범죄,"21,649","11,479",36,776,"2,654","3,288","3,078","1,234",408,"10,170",75,964,"1,689","2,916","3,258",997,235
환경범죄,환경범죄,"3,802","3,392",14,65,361,"1,042","1,312",475,115,410,12,39,52,129,122,45,7
교통범죄,교통범죄,"555,352","473,064","14,629","76,261","103,693","115,126","104,879","43,870","14,252","82,288",947,"10,824","19,605","26,431","18,349","5,227",858
노동범죄,노동범죄,"5,860","3,504",22,260,826,"1,051",973,357,15,"2,356",5,161,578,654,756,194,5
안보범죄,안보범죄,151,133,0,28,24,25,36,16,0,18,0,5,3,4,4,0,0
선거범죄,선거범죄,"1,525","1,221",10,58,81,350,490,177,34,304,1,24,32,84,122,30,6
병역범죄,병역범죄,"15,659","15,528",518,"12,812","2,123",35,36,4,0,131,3,15,7,36,63,7,0
기타범죄,기타범죄,"310,870","235,245","9,703","33,845","52,450","61,298","53,329","18,877","5,563","75,625","4,385","11,016","13,276","19,848","18,999","5,721","1,742"
